URL,Title,Meta Description,Status Code,H1,Broken Links,Duplicate Title,Duplicate Description,Duplicate Content,No Content Encoding,High Loading Time,Is Redirect,Is 4xx Code,Is 5xx Code,Is Broken,Not HTTPS,High Waiting Time,No Micromarkup,Has Micromarkup Errors,No Doctype,No Canonical,No Encoding Meta Tag,No H1 Tag,HTTPS to HTTP Links,Size Greater Than 3MB,No Meta Description,No Title,No Favicon,Not SEO Friendly URL,Has Misspelling,Title Too Long,Title Too Short,No Image Alt,No Image Title
https://seoustaad.com/cdn-cgi/l/email-protection,Missing,Missing,404,Missing,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Fail,Pass,Pass,Fail,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass
https://www.seoustaad.com/services/comprehensive-keyword-research/,Missing,Missing,522,Missing,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Fail,Fail,Pass,Pass,Fail,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass
https://www.seoustaad.com/services/premium-gmb-setup/,Missing,Missing,522,Missing,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Fail,Fail,Pass,Pass,Fail,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass
https://www.seoustaad.com/services/premium-local-citations/,Missing,Missing,522,Missing,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Fail,Fail,Pass,Pass,Fail,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass
https://www.seoustaad.com/services/premium-schema-markup/,Missing,Missing,522,Missing,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Fail,Fail,Pass,Pass,Fail,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass
https://www.seoustaad.com/services/premium-technical-seo-audit/,Missing,Missing,522,Missing,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Fail,Fail,Pass,Pass,Fail,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass
https://portfolio.seoustaad.com/,SEO Ustaad - Premium Growth Marketing & SEO Agency,"SEO Ustaad is a premium growth marketing and SEO agency focused on data-driven organic growth, high-converting copy, and brand authority.",200,"Dominate Digital Search
With SEO Ustaad.",Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass
https://seoustaad.com/,"SEO Ustaad | Dominate Digital Search in Pakistan | SEO, Web Dev & SMM","SEO Ustaad is Pakistan's top-rated Generative Engine Optimization & Web Development agency. Scale your brand with affordable WordPress developers and ROI-driven SEO starting at 5,000 PKR. Order via WhatsApp today.",200,"Dominate Digital Search
 With SEO Ustaad",Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail,Pass,Pass,Pass
https://seoustaad.com/blog/,Blog | SEO Ustaad — Web Development News & Best Practices,"Latest web development news, best practices, React tips, and digital insights from SEO Ustaad, Pakistan's #1 digital agency.",200,SEO Ustaad  Blog,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail,Pass,Pass,Pass,Pass
https://seoustaad.com/blog/shopify-dropshipping-karachi/,Shopify Dropshipping in Karachi 2026: Complete Local Guide | SEO Ustaad,"Start a profitable Shopify dropshipping business in Karachi in 2026. Local suppliers, COD delivery, and winning Meta & TikTok ad strategies for the Karachi market.",200,Shopify Dropshipping in Karachi (2026): The Complete Local Playbook,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail,Pass,Pass,Pass,Pass
